Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
43,0,0,0,1,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,1,14,21,0,66.64,0,0,0,0,18,0,14,20,44,0,7,14,23,20,80.444,66.444,152.783,17336.469,13.06,75.05,11.178,0,1,0,0,0,0,0
49,1,0,0,0,0,0,0,1,0,0,0,44,44,0,0,0,1,0,0,0,0,57,0,79.34,0,0,14,0,0,0,0,51,0,0,14,51,0,50,43.136,15.196,268.024,2014.306,2.42,59.31,4.005,0,0,0,0,1,0,0
10,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37.22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,85.446,18.136,153.507,40585.721,5.76,81.91,34.492,0,0,1,0,0,0,0
8,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.986,66.939,140.448,10581.936,5.55,77.01,11.562,0,0,1,0,0,0,0
17,0,0,1,0,0,0,7,1,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,34.72,0,0,4,0,0,0,0,8,3,0,18,7,0,8,68.222,31.212,350.06,25063.846,4.91,75.29,33.89,1,0,0,0,0,0,0
79,0,0,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41.36,0,0,87,0,0,0,0,82,0,38,0,0,0,74,87.052,0.137,199.941,21655.2437,2.16,71.7,16.17296,0,0,1,0,0,0,0
34,1,0,0,0,0,0,0,1,25,0,0,35,0,0,0,0,0,0,0,1,0,25,0,74.62,0,25,25,0,0,0,0,25,4,0,3,25,0,35,41.77,7.479,435.727,661.24,6.1,53.28,5.906,0,0,1,0,0,0,0
37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.55,0,0,0,0,0,0,0,0,9,0,11,0,31,10,85.446,18.136,153.507,40585.721,5.76,81.91,34.492,0,0,1,0,0,0,0
40,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,1,0,0,0,0,10,49,0,79.67,41,8,41,0,0,0,0,52,0,0,0,10,0,0,48.116,207.973,197.0668846,21655.2437,13.67,79.07,16.17296,0,0,0,0,1,0,0
113,0,0,1,0,0,0,91,1,87,0,91,0,0,1,0,0,0,0,0,0,0,102,100,53.68,0,36,0,0,0,0,0,103,0,0,18,0,0,140,63.405,69.874,126.459,67335.293,3.28,82.3,22.606,0,0,0,0,0,1,0
55,0,0,0,0,1,0,0,7,2,0,0,9,0,0,0,0,0,1,0,0,0,0,0,77.56,0,0,1,0,0,0,0,3,0,0,56,0,0,56,86.124,3.202,107.791,44648.71,5.07,83.44,25.633,1,0,0,0,0,0,0
135,0,0,1,0,0,0,113,1,0,0,113,0,0,0,1,0,0,0,0,0,0,0,0,51.73,19,0,0,0,0,0,19,0,0,0,0,0,0,162,63.405,69.874,126.459,67335.293,3.28,82.3,22.606,0,0,0,1,0,0,0
60,0,0,1,0,0,0,43,1,0,0,0,0,32,0,1,0,0,0,0,0,37,44,0,48.2,0,0,0,0,45,0,29,50,48,0,93,48,41,51,91.876,508.544,109.361,48472.545,5.29,82.28,30.66,0,0,1,0,0,0,0
68,0,1,0,0,0,0,0,1,12,0,4,4,0,0,0,0,1,0,0,0,11,15,12,74.51,0,0,11,0,12,10,0,16,0,0,81,0,0,66,20.153,204.43,260.797,2442.804,7.26,70.78,9.021,1,0,0,0,0,0,0
68,1,0,0,0,0,0,0,1,0,0,0,0,44,0,0,0,1,0,0,0,0,70,0,78.77,0,0,69,0,0,0,0,0,63,0,69,0,0,69,16.517,16.955,238.339,926,2.42,62.42,3.931,0,0,0,0,1,0,0
16,0,0,0,1,0,0,0,1,26,0,0,0,0,0,1,0,0,0,0,0,10,16,10,62.33,6,0,0,0,15,15,0,15,0,0,0,0,71,64,51.439,157.834,155.898,7423.808,10.18,74.3,7.71,0,0,0,0,1,0,0
69,1,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,0,0,1,0,0,69,0,63.29,0,20,64,0,0,0,0,77,0,64,0,20,0,70,17.313,494.869,191.375,1854.211,4.28,69.02,4.616,0,0,0,1,0,0,0
5,1,0,0,0,0,0,0,1,7,0,3,0,0,0,0,0,1,0,0,0,0,0,0,68.77,0,0,29,0,0,0,0,11,0,0,11,0,0,51,66.195,135.58,182.219,6222.554,2.42,72.98,7.897,0,0,0,0,1,0,0
113,0,0,0,1,0,0,109,0,0,0,0,0,44,0,0,0,0,0,1,0,31,0,0,78.18,0,0,0,0,0,0,0,0,0,64,0,31,0,172,100,1308.82,139.547,50669.315,13,82.59,16.17296,0,1,0,0,0,0,0
53,0,1,0,0,0,0,15,1,35,23,0,0,0,0,0,1,0,0,0,0,0,51,40,54.65,51,0,7,0,23,0,23,40,0,0,0,0,0,54,56.031,119.309,559.812,15847.419,7.11,73,9.889,0,0,0,1,0,0,0
55,0,0,1,0,0,0,33,1.166666667,24,0,24,0,0,0,0,1,0,0,0,0,29,43,32,46.58,0,42,33,0,0,23,0,46,23,0,31,0,0,58,54.084,85.129,370.946,23313.199,9.74,76.05,29.54,1,0,0,0,0,0,0
143,0,1,0,0,0,0,0,2,68,0,0,107,71,0,0,0,1,0,0,0,38,138,128,102.48,128,0,126,0,0,127,0,129,0,0,0,0,0,176,100,232.128,132.235,65530.537,15.84,75.49,3.459,1,0,0,0,0,0,0
